iter	Passed	Remaining
0	121	121110
1	134	67323
2	145	48472
3	152	37969
4	160	31948
5	166	27661
6	175	24836
7	181	22512
8	189	20837
9	195	19362
10	202	18180
11	209	17289
12	217	16475
13	225	15907
14	232	15284
15	242	14890
16	251	14561
17	261	14242
18	267	13814
19	275	13510
20	282	13149
21	290	12909
22	297	12618
23	306	12457
24	312	12196
25	322	12068
26	328	11842
27	336	11671
28	345	11573
29	357	11545
30	366	11459
31	378	11449
32	387	11342
33	395	11232
34	404	11157
35	413	11062
36	422	10996
37	429	10864
38	437	10775
39	443	10647
40	453	10616
41	460	10497
42	471	10486
43	481	10458
44	492	10442
45	498	10335
46	506	10266
47	512	10173
48	521	10123
49	528	10036
50	539	10037
51	555	10128
52	562	10050
53	572	10020
54	578	9939
55	587	9901
56	593	9824
57	605	9832
58	618	9866
59	625	9798
60	635	9775
61	644	9753
62	655	9743
63	668	9771
64	674	9706
65	684	9679
66	693	9651
67	703	9642
68	710	9586
69	725	9633
70	735	9624
71	744	9600
72	754	9585
73	764	9565
74	774	9547
75	785	9547
76	792	9504
77	806	9530
78	821	9580
79	835	9609
80	842	9553
81	853	9559
82	862	9532
83	869	9482
84	879	9471
85	888	9441
86	900	9452
87	907	9407
88	916	9382
89	923	9336
90	933	9328
91	942	9305
92	952	9293
93	961	9267
94	970	9249
95	985	9283
96	998	9294
97	1006	9263
98	1017	9259
99	1027	9246
100	1034	9205
101	1043	9185
102	1050	9148
103	1057	9110
104	1067	9098
105	1083	9136
106	1099	9172
107	1127	9310
108	1138	9305
109	1149	9297
110	1155	9254
111	1164	9233
112	1171	9193
113	1181	9183
114	1193	9185
115	1202	9160
116	1210	9136
117	1217	9099
118	1226	9081
119	1235	9061
120	1246	9054
121	1253	9022
122	1264	9015
123	1277	9024
124	1284	8991
125	1293	8973
126	1300	8941
127	1308	8916
128	1315	8881
129	1325	8869
130	1334	8850
131	1344	8839
132	1350	8803
133	1358	8781
134	1364	8744
135	1373	8726
136	1379	8692
137	1388	8674
138	1402	8685
139	1412	8677
140	1421	8661
141	1428	8629
142	1434	8598
143	1442	8577
144	1449	8547
145	1460	8541
146	1468	8519
147	1477	8504
148	1483	8475
149	1493	8462
150	1502	8448
151	1511	8431
152	1523	8432
153	1530	8408
154	1539	8393
155	1545	8363
156	1555	8354
157	1564	8334
158	1574	8326
159	1582	8310
160	1589	8285
161	1596	8257
162	1607	8252
163	1619	8254
164	1628	8238
165	1640	8242
166	1650	8232
167	1657	8209
168	1667	8199
169	1676	8185
170	1687	8179
171	1694	8157
172	1702	8140
173	1709	8115
174	1720	8109
175	1726	8084
176	1736	8072
177	1744	8055
178	1754	8045
179	1760	8020
180	1769	8006
181	1775	7980
182	1787	7978
183	1804	8001
184	1811	7978
185	1821	7973
186	1831	7961
187	1838	7942
188	1847	7928
189	1854	7907
190	1863	7892
191	1870	7872
192	1879	7857
193	1888	7846
194	1897	7834
195	1904	7813
196	1912	7796
197	1919	7773
198	1930	7768
199	1939	7757
200	1950	7753
201	1961	7749
202	1971	7741
203	1984	7744
204	1995	7736
205	2004	7726
206	2014	7716
207	2023	7704
208	2034	7699
209	2045	7696
210	2053	7678
211	2064	7675
212	2082	7693
213	2089	7673
214	2097	7658
215	2103	7636
216	2114	7630
217	2123	7617
218	2134	7611
219	2144	7603
220	2151	7583
221	2160	7571
222	2168	7556
223	2181	7556
224	2188	7537
225	2198	7530
226	2204	7508
227	2214	7499
228	2226	7496
229	2233	7477
230	2242	7464
231	2248	7444
232	2256	7429
233	2263	7410
234	2270	7390
235	2280	7382
236	2293	7382
237	2300	7366
238	2311	7358
239	2320	7349
240	2328	7333
241	2345	7346
242	2458	7659
243	2474	7666
244	2503	7715
245	2511	7698
246	2520	7683
247	2527	7662
248	2536	7648
249	2543	7629
250	2551	7612
251	2558	7593
252	2566	7576
253	2573	7558
254	2581	7541
255	2588	7523
256	2595	7503
257	2604	7489
258	2610	7469
259	2621	7460
260	2627	7440
261	2636	7427
262	2643	7408
263	2652	7394
264	2659	7375
265	2667	7361
266	2674	7342
267	2683	7328
268	2690	7311
269	2699	7297
270	2706	7280
271	2714	7266
272	2721	7248
273	2729	7233
274	2737	7215
275	2744	7200
276	2752	7184
277	2759	7166
278	2768	7153
279	2775	7136
280	2784	7125
281	2791	7108
282	2801	7096
283	2808	7079
284	2818	7069
285	2825	7053
286	2833	7038
287	2839	7020
288	2848	7006
289	2855	6991
290	2864	6980
291	2872	6965
292	2881	6952
293	2888	6935
294	2897	6923
295	2904	6907
296	2913	6895
297	2920	6880
298	2929	6868
299	2936	6852
300	2946	6841
301	2952	6824
302	2961	6813
303	2968	6796
304	2978	6785
305	2985	6770
306	2994	6758
307	3000	6742
308	3009	6729
309	3016	6713
310	3026	6705
311	3034	6691
312	3044	6682
313	3053	6671
314	3063	6661
315	3070	6646
316	3079	6634
317	3086	6619
318	3095	6607
319	3102	6592
320	3111	6581
321	3118	6565
322	3128	6556
323	3135	6541
324	3144	6530
325	3151	6515
326	3159	6503
327	3167	6489
328	3176	6478
329	3183	6463
330	3192	6451
331	3199	6438
332	3208	6426
333	3215	6411
334	3224	6400
335	3231	6385
336	3240	6375
337	3247	6361
338	3257	6352
339	3273	6355
340	3290	6359
341	3299	6348
342	3312	6344
343	3326	6342
344	3333	6329
345	3346	6324
346	3359	6322
347	3371	6317
348	3381	6307
349	3393	6302
350	3408	6301
351	3422	6299
352	3439	6303
353	3464	6322
354	3484	6331
355	3493	6320
356	3508	6319
357	3522	6316
358	3531	6304
359	3555	6321
360	3563	6308
361	3578	6307
362	3590	6300
363	3601	6292
364	3611	6282
365	3622	6274
366	3629	6260
367	3638	6249
368	3646	6235
369	3655	6224
370	3663	6210
371	3674	6203
372	3688	6199
373	3704	6199
374	3759	6265
375	3806	6316
376	3850	6363
377	3886	6394
378	3902	6394
379	3927	6407
380	3938	6399
381	3947	6385
382	3954	6370
383	3962	6356
384	3970	6342
385	3977	6327
386	3986	6315
387	3994	6299
388	4004	6289
389	4012	6275
390	4019	6260
391	4027	6246
392	4036	6234
393	4045	6222
394	4052	6207
395	4064	6199
396	4072	6185
397	4080	6172
398	4088	6157
399	4096	6144
400	4103	6130
401	4112	6117
402	4120	6104
403	4129	6091
404	4137	6078
405	4146	6066
406	4153	6051
407	4162	6039
408	4169	6025
409	4178	6012
410	4185	5998
411	4195	5987
412	4202	5973
413	4211	5960
414	4218	5946
415	4226	5933
416	4233	5919
417	4241	5905
418	4249	5892
419	4256	5877
420	4265	5866
421	4272	5852
422	4280	5839
423	4287	5825
424	4296	5813
425	4303	5799
426	4312	5787
427	4319	5773
428	4328	5761
429	4336	5747
430	4345	5736
431	4352	5723
432	4361	5711
433	4369	5699
434	4378	5687
435	4386	5674
436	4395	5662
437	4402	5649
438	4412	5638
439	4418	5624
440	4429	5614
441	4436	5600
442	4447	5591
443	4457	5581
444	4464	5567
445	4473	5556
446	4480	5542
447	4489	5531
448	4496	5517
449	4505	5507
450	4512	5493
451	4522	5483
452	4529	5469
453	4538	5457
454	4544	5443
455	4553	5431
456	4560	5418
457	4571	5410
458	4578	5396
459	4586	5384
460	4594	5371
461	4602	5359
462	4610	5346
463	4618	5334
464	4626	5322
465	4632	5309
